Continent_Name,Continent_Code,Country_Name,Country_Code,Country_Number
Asia,AS,"Afghanistan, Islamic Republic of",AFG,4
Europe,EU,"Albania, Republic of",ALB,8
Antarctica,AN,Antarctica (the territory South of 60 deg S),ATA,10
Africa,AF,"Algeria, People's Democratic Republic of",DZA,12
Oceania,OC,American Samoa,ASM,16
Europe,EU,"Andorra, Principality of",AND,20
Africa,AF,"Angola, Republic of",AGO,24
North America,NA,Antigua and Barbuda,ATG,28
Europe,EU,"Azerbaijan, Republic of",AZE,31
Asia,AS,"Azerbaijan, Republic of",AZE,31
South America,SA,"Argentina, Argentine Republic",ARG,32
Oceania,OC,"Australia, Commonwealth of",AUS,36
Europe,EU,"Austria, Republic of",AUT,40
North America,NA,"Bahamas, Commonwealth of the",BHS,44
Asia,AS,"Bahrain, Kingdom of",BHR,48
Asia,AS,"Bangladesh, People's Republic of",BGD,50
Europe,EU,"Armenia, Republic of",ARM,51
Asia,AS,"Armenia, Republic of",ARM,51
North America,NA,Barbados,BRB,52
Europe,EU,"Belgium, Kingdom of",BEL,56
North America,NA,Bermuda,BMU,60
Asia,AS,"Bhutan, Kingdom of",BTN,64
South America,SA,"Bolivia, Republic of",BOL,68
Europe,EU,Bosnia and Herzegovina,BIH,70
Africa,AF,"Botswana, Republic of",BWA,72
Antarctica,AN,Bouvet Island (Bouvetoya),BVT,74
South America,SA,"Brazil, Federative Republic of",BRA,76
North America,NA,Belize,BLZ,84
Asia,AS,British Indian Ocean Territory (Chagos Archipelago),IOT,86
Oceania,OC,Solomon Islands,SLB,90
North America,NA,British Virgin Islands,VGB,92
Asia,AS,Brunei Darussalam,BRN,96
Europe,EU,"Bulgaria, Republic of",BGR,100
Asia,AS,"Myanmar, Union of",MMR,104
Africa,AF,"Burundi, Republic of",BDI,108
Europe,EU,"Belarus, Republic of",BLR,112
Asia,AS,"Cambodia, Kingdom of",KHM,116
Africa,AF,"Cameroon, Republic of",CMR,120
North America,NA,Canada,CAN,124
Africa,AF,"Cape Verde, Republic of",CPV,132
North America,NA,Cayman Islands,CYM,136
Africa,AF,Central African Republic,CAF,140
Asia,AS,"Sri Lanka, Democratic Socialist Republic of",LKA,144
Africa,AF,"Chad, Republic of",TCD,148
South America,SA,"Chile, Republic of",CHL,152
Asia,AS,"China, People's Republic of",CHN,156
Asia,AS,Taiwan,TWN,158
Asia,AS,Christmas Island,CXR,162
